test,source
SchemaValidator.Object_PatternProperties,test/unittest/schematest.cpp:1322
SchemaValidator.Object_PatternProperties_ErrorConflict,test/unittest/schematest.cpp:1351
SchemaValidator.Object_Properties_PatternProperties,test/unittest/schematest.cpp:1378
SchemaValidator.Object_PatternProperties_AdditionalPropertiesObject,test/unittest/schematest.cpp:1414
SchemaValidator.Object_PatternProperties_AdditionalPropertiesBoolean,test/unittest/schematest.cpp:1441
SchemaValidator.Array,test/unittest/schematest.cpp:1465
SchemaValidator.Array_ItemsList,test/unittest/schematest.cpp:1480
SchemaValidator.Array_ItemsTuple,test/unittest/schematest.cpp:1501
SchemaValidator.Array_AdditionalItems,test/unittest/schematest.cpp:1544
SchemaValidator.Array_ItemsRange,test/unittest/schematest.cpp:1579
SchemaValidator.Array_UniqueItems,test/unittest/schematest.cpp:1606
SchemaValidator.Boolean,test/unittest/schematest.cpp:1627
SchemaValidator.Null,test/unittest/schematest.cpp:1648
SchemaValidator.ObjectInArray,test/unittest/schematest.cpp:1676
SchemaValidator.MultiTypeInObject,test/unittest/schematest.cpp:1696
SchemaValidator.MultiTypeWithObject,test/unittest/schematest.cpp:1719
SchemaValidator.AllOf_Nested,test/unittest/schematest.cpp:1742
SchemaValidator.EscapedPointer,test/unittest/schematest.cpp:1824
SchemaValidator.SchemaPointer,test/unittest/schematest.cpp:1842
SchemaValidator.ValidateMetaSchema,test/unittest/schematest.cpp:2050
SchemaValidator.ValidateMetaSchema_UTF16,test/unittest/schematest.cpp:2078
SchemaValidator.TestSuite,test/unittest/schematest.cpp:2183
SchemaValidator.Issue608,test/unittest/schematest.cpp:2399
SchemaValidator.Issue728_AllOfRef,test/unittest/schematest.cpp:2414
SchemaValidator.Issue1017_allOfHandler,test/unittest/schematest.cpp:2423
SchemaValidator.Ref_remote,test/unittest/schematest.cpp:2442
SchemaValidator.Ref_remote_change_resolution_scope_uri,test/unittest/schematest.cpp:2461
SchemaValidator.Ref_remote_change_resolution_scope_relative_path,test/unittest/schematest.cpp:2480
SchemaValidator.Ref_remote_change_resolution_scope_absolute_path,test/unittest/schematest.cpp:2499
SchemaValidator.Ref_remote_change_resolution_scope_absolute_path_document,test/unittest/schematest.cpp:2518
SchemaValidator.Ref_internal_id_1,test/unittest/schematest.cpp:2537
SchemaValidator.Ref_internal_id_2,test/unittest/schematest.cpp:2555
SchemaValidator.Ref_internal_id_in_array,test/unittest/schematest.cpp:2573
SchemaValidator.Ref_internal_id_and_schema_pointer,test/unittest/schematest.cpp:2591
SchemaValidator.Ref_internal_multiple_ids,test/unittest/schematest.cpp:2610
SchemaValidator.Ref_remote_issue1210,test/unittest/schematest.cpp:2639
SchemaValidator.ContinueOnErrors,test/unittest/schematest.cpp:2678
SchemaValidator.ContinueOnErrors_OneOf,test/unittest/schematest.cpp:2773
SchemaValidator.ContinueOnErrors_AllOf,test/unittest/schematest.cpp:2799
SchemaValidator.ContinueOnErrors_AnyOf,test/unittest/schematest.cpp:2825
